totalsum,number_stops,Max_to_depot,Min_to_depot,vehicle_cap,greedy_total_sum,real_km_order,chosen_company,chosen_candidate
2720.051,23,187.131,6.029,18,8736.904900000001,54.65049999999999,Global Group,Visionary Enterprises
3933.0086999999994,32,173.0015,20.3042,2,24237.892900000003,118.52265161290322,Innovative Solutions,Innovative Ventures
2365.5404000000003,20,167.5736,9.097700000000001,18,8163.117899999999,53.14295263157895,Swift Corporation,Swift Industries
3867.3690000000006,29,205.54670000000002,21.9399,18,22635.509500000004,50.67186071428571,Global Industries,Dynamic Industries
1599.0121000000001,14,202.2859,18.5871,8,6086.548699999999,71.76651538461539,NextGen Group,Visionary Solutions
1410.9107999999999,14,204.8296,11.5065,12,5876.7154,71.11953076923078,Global Enterprises,Visionary Partners
2760.5906,21,179.8611,10.734,14,12820.9702,58.751115000000006,Green Industries,Global Corporation
5346.4212,40,206.5204,26.6365,10,56819.070199999995,58.90882307692308,Pioneer Ventures,Elite Consulting
6591.222700000002,45,191.732,18.5871,12,68016.7886,47.72323181818182,Pioneer Corporation,Elite Group
3674.1351,28,218.1173,18.5871,14,22291.702200000003,54.43587407407408,Pioneer Corporation,Swift Technologies
3287.6251,30,201.3102,17.514599999999998,7,19496.0558,50.33156551724137,Dynamic Ventures,Green Solutions
2070.7902999999997,19,163.5341,17.514599999999998,18,8923.555,49.39257777777778,Dynamic Industries,Dynamic Ventures
3780.6812999999993,28,196.8049,10.9535,4,14752.7263,120.17332592592591,Green Enterprises,Dynamic Partners
4973.5205000000005,40,201.3102,31.0445,3,48306.374899999995,103.51008461538463,Green Solutions,Green Networks
2888.1360999999997,28,200.5804,11.5065,11,17451.522100000002,52.90112592592594,Global Enterprises,Pioneer Ventures
3882.5858,23,203.2633,35.768800000000006,16,18503.918299999998,62.62006363636363,Innovative Solutions,Global Ventures
2972.0444,30,199.90210000000002,11.5065,12,14940.7496,44.402268965517244,Innovative Corporation,Global Enterprises
2720.8744000000006,25,163.5341,21.9399,2,15898.3665,124.14325833333334,NextGen Solutions,Dynamic Industries
3128.821300000001,29,207.4666,18.4984,8,16055.143799999998,62.27802142857143,Dynamic Technologies,Swift Solutions
2969.4811999999997,21,204.8296,10.734,9,13234.274300000001,64.95217,Visionary Partners,Green Industries
2914.749,24,205.6141,25.8705,18,13404.7122,52.18304347826087,Dynamic Enterprises,Swift Ventures
3177.2668,27,191.26139999999998,31.0445,6,20440.3265,66.80977692307692,Green Networks,Innovative Solutions
